date,AMZN,META,AAPL,MSFT,GOOGL
2023-02-01,0.5,0.06666666666666667,0.06666666666666667,0.3,0.06666666666666667
2023-02-02,0.3,0.06666666666666667,0.06666666666666667,0.5,0.06666666666666667
2023-02-03,0.3,0.06666666666666667,0.06666666666666667,0.5,0.06666666666666667
2023-02-06,0.06666666666666667,0.3,0.06666666666666667,0.5,0.06666666666666667
2023-02-07,0.06666666666666667,0.5,0.06666666666666667,0.3,0.06666666666666667
2023-02-08,0.06666666666666667,0.5,0.06666666666666667,0.3,0.06666666666666667
2023-02-09,0.06666666666666667,0.5,0.3,0.06666666666666667,0.06666666666666667
2023-02-10,0.06666666666666667,0.5,0.3,0.06666666666666667,0.06666666666666667
2023-02-13,0.3,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667
2023-02-14,0.06666666666666667,0.5,0.06666666666666667,0.06666666666666667,0.3
2023-02-15,0.06666666666666667,0.3,0.06666666666666667,0.06666666666666667,0.5
2023-02-16,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5
2023-02-17,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5
2023-02-20,0.06666666666666667,0.06666666666666667,0.3,0.06666666666666667,0.5
2023-02-21,0.06666666666666667,0.06666666666666667,0.5,0.06666666666666667,0.3
2023-02-22,0.06666666666666667,0.06666666666666667,0.5,0.06666666666666667,0.3
2023-02-23,0.3,0.06666666666666667,0.5,0.06666666666666667,0.06666666666666667
2023-02-24,0.3,0.06666666666666667,0.5,0.06666666666666667,0.06666666666666667
2023-02-27,0.3,0.06666666666666667,0.06666666666666667,0.5,0.06666666666666667
2023-02-28,0.5,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667
2023-03-01,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3
2023-03-02,0.5,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667
2023-03-03,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3
2023-03-06,0.5,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667
2023-03-07,0.3,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667
2023-03-08,0.06666666666666667,0.5,0.3,0.06666666666666667,0.06666666666666667
2023-03-09,0.3,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667
2023-03-10,0.3,0.06666666666666667,0.06666666666666667,0.5,0.06666666666666667
2023-03-13,0.3,0.06666666666666667,0.06666666666666667,0.5,0.06666666666666667
2023-03-14,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3,0.5
2023-03-15,0.5,0.06666666666666667,0.3,0.06666666666666667,0.06666666666666667
2023-03-16,0.5,0.06666666666666667,0.3,0.06666666666666667,0.06666666666666667
2023-03-17,0.06666666666666667,0.06666666666666667,0.5,0.06666666666666667,0.3
2023-03-20,0.06666666666666667,0.3,0.5,0.06666666666666667,0.06666666666666667
2023-03-21,0.06666666666666667,0.5,0.3,0.06666666666666667,0.06666666666666667
2023-03-22,0.06666666666666667,0.5,0.06666666666666667,0.06666666666666667,0.3
2023-03-23,0.06666666666666667,0.5,0.06666666666666667,0.06666666666666667,0.3
2023-03-24,0.3,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667
2023-03-27,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.3
2023-03-28,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5
2023-03-29,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5
2023-03-30,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5
2023-03-31,0.06666666666666667,0.3,0.06666666666666667,0.06666666666666667,0.5
